CVEGEO,Nombre,VPC_2003,VPC_2004,VPC_2005,VPC_2006,VPC_2007,VPC_2008,VPC_2009,VPC_2010,VPC_2011,VPC_2012,VPC_2013,VPC_2014,VPC_2015,VPC_2016
20476,Santiago Miltepec,548,491,278,1349,866,1040,877,1649,1490,1792,1500,1246,1062,1082
20477,Santiago Minas,2616,3637,4257,5507,5935,5939,3592,6197,6645,5687,6078,5218,5784,5675
20478,Santiago Nacaltepec,4910,5102,4145,5837,5320,6167,3880,6932,8885,9118,8836,7530,4626,8678
20479,Santiago Nejapilla,343,185,218,58,301,412,230,259,434,478,124,253,363,333
20480,Santiago Nundiche,965,1255,815,1728,1781,3207,2177,2235,2674,2583,3063,3071,3157,3947
20481,Santiago Nuyoó,4085,4647,4000,5245,13417,5529,5410,6374,7023,7212,8998,10000,9209,9542
20482,Santiago Pinotepa Nacional,162940,123334,77630,82981,109978,134971,124055,125630,174726,130833,236154,314400,306126,389003
20483,Santiago Suchilquitongo,19530,14371,13861,9516,10636,10359,7465,10232,9147,9366,7578,6770,7420,6890
20484,Santiago Tamazola,1736,2850,639,977,3912,4343,1836,3546,3172,5922,4935,2986,3453,3229
20485,Santiago Tapextla,11969,8775,4700,4578,5821,6860,6808,4714,5811,7412,9839,10748,11860,13844
20486,Villa Tejúpam de la Unión,4914,2439,2976,688,5780,7302,2285,4247,9267,8795,2723,5552,5672,5383
20487,Santiago Tenango,2259,1748,3083,1658,6063,5389,2005,4975,4712,4752,3136,3140,2368,1419
20488,Santiago Tepetlapa,229,164,71,23,257,256,138,289,276,315,24,195,277,255
20489,Santiago Tetepec,12092,9601,5316,5912,7181,8236,8321,8258,10122,10237,9286,9117,10651,12919
20490,Santiago Texcalcingo,3368,2807,2962,3356,2862,3291,4147,4737,6336,6618,6821,6406,7395,7843
20491,Santiago Textitlán,3206,3508,5952,5132,6565,6150,4457,6399,7484,8220,9456,12127,21599,13146
20492,Santiago Tilantongo,2948,2370,1866,1086,3692,1316,4632,6275,5473,6667,4662,8242,3885,7426
20493,Santiago Tillo,3406,3498,3216,7287,8503,9033,12130,8082,12932,11124,6468,9964,9654,9203
20494,Santiago Tlazoyaltepec,1694,2519,5461,3572,8219,5898,3335,7024,6940,7153,3640,4855,4928,3846
20495,Santiago Xanica,2100,2244,2351,5113,11355,10163,8863,11594,11453,11859,16437,16004,13282,7320
20496,Santiago Xiacuí,2017,1415,1977,2100,2147,2478,2218,2146,2238,2699,2367,2019,2067,2180
20497,Santiago Yaitepec,2877,2107,1725,2570,1755,3219,3255,3273,2323,4281,3985,3539,4244,3854
