CVEGEO,Nombre,PM_1995,PM_1996,PM_1997,PM_1998,PM_1999,PM_2000,PM_2001,PM_2002,PM_2003,PM_2004,PM_2005,PM_2006,PM_2007,PM_2008,PM_2009,PM_2010,PM_2011,PM_2012,PM_2013,PM_2014,PM_2015,PM_2016,promedio
20086,San Agustín Tlacotepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20087,San Agustín Yatareni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20088,San Andrés Cabecera Nueva,17462,11202,13214,6431,7890,12242,8527,5179,6685,5318,8571,10566,6827,6906,5843,2490,4124,1206,0,0,4051,0,6578.81818181818
20089,San Andrés Dinicuiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20090,San Andrés Huaxpaltepec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20091,San Andrés Huayápam,0,0,0,0,0,0,0,0,0,546,0,0,210,0,0,0,294,1757,1790,0,0,0,208.954545454545
20092,San Andrés Ixtlahuaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20093,San Andrés Lagunas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20094,San Andrés Nuxiño,0,0,0,0,0,0,0,0,0,0,0,1937,582,1531,347,0,1936,2143,898,1190,0,0,480.181818181818
20095,San Andrés Paxtlán,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,0,0,178,220,309,0,151,0,91.5
20096,San Andrés Sinaxtla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20097,San Andrés Solaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20098,San Andrés Teotilálpam,0,0,0,0,0,0,0,2282,951,520,0,0,803,0,0,0,0,0,0,0,0,0,207.090909090909
20099,San Andrés Tepetlapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20100,San Andrés Yaá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
